"course_id","student_index","timing","question","value"
82294927,1,"Pre","Predict",1
82294927,1,"Pre","Decision",0
82294927,1,"Pre","Understanding",0
82294927,1,"Pre","Manage",0
82294927,1,"Pre","Policy",0
82294927,1,"Pre","IDK",0
82294927,1,"Post","Predict",1
82294927,1,"Post","Decision",0
82294927,1,"Post","Understanding",0
82294927,1,"Post","Manage",0
82294927,1,"Post","Policy",0
82294927,1,"Post","IDK",0
82294927,2,"Pre","Predict",0
82294927,2,"Pre","Decision",0
82294927,2,"Pre","Understanding",0
82294927,2,"Pre","Manage",0
82294927,2,"Pre","Policy",0
82294927,2,"Pre","IDK",1
82294927,2,"Post","Predict",1
82294927,2,"Post","Decision",0
82294927,2,"Post","Understanding",0
82294927,2,"Post","Manage",0
82294927,2,"Post","Policy",0
82294927,2,"Post","IDK",0
82294927,3,"Pre","Predict",1
82294927,3,"Pre","Decision",1
82294927,3,"Pre","Understanding",1
82294927,3,"Pre","Manage",0
82294927,3,"Pre","Policy",0
82294927,3,"Pre","IDK",0
82294927,3,"Post","Predict",1
82294927,3,"Post","Decision",1
82294927,3,"Post","Understanding",0
82294927,3,"Post","Manage",0
82294927,3,"Post","Policy",0
82294927,3,"Post","IDK",0
82294927,4,"Pre","Predict",1
82294927,4,"Pre","Decision",0
82294927,4,"Pre","Understanding",0
82294927,4,"Pre","Manage",0
82294927,4,"Pre","Policy",0
82294927,4,"Pre","IDK",0
82294927,4,"Post","Predict",0
82294927,4,"Post","Decision",1
82294927,4,"Post","Understanding",0
82294927,4,"Post","Manage",0
82294927,4,"Post","Policy",0
82294927,4,"Post","IDK",0
82294927,5,"Pre","Predict",1
82294927,5,"Pre","Decision",0
82294927,5,"Pre","Understanding",0
82294927,5,"Pre","Manage",0
82294927,5,"Pre","Policy",0
82294927,5,"Pre","IDK",0
82294927,5,"Post","Predict",0
82294927,5,"Post","Decision",1
82294927,5,"Post","Understanding",1
82294927,5,"Post","Manage",0
82294927,5,"Post","Policy",0
82294927,5,"Post","IDK",0
82294927,6,"Pre","Predict",1
82294927,6,"Pre","Decision",1
